CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,_Churn_raw,_Churn_mapped,TenureGroup
1,452,Germany,Female,56,8,52341.96,2,1,1,73070.56,1,1,1,1-12
2,785,France,Female,72,2,39108.8,4,1,1,45496.83,0,0,0,1-12
3,698,Spain,Female,45,7,111236.9,1,1,0,47527.75,1,1,1,1-12
4,620,France,Male,35,2,154907.94,3,1,1,86061.49,0,0,0,1-12
5,456,Spain,Female,58,6,212669.67,4,0,1,19941.45,0,0,0,1-12
6,421,Germany,Male,82,4,57990.76,1,0,1,102673.9,1,1,1,1-12
7,538,Spain,Male,63,0,119911.98,4,0,0,149136.72,0,0,0,0
8,370,Germany,Female,77,3,161860.06,3,1,1,110787.31,0,0,0,1-12
9,452,Germany,Female,26,8,111398.46,3,1,1,194309.55,0,0,0,1-12
10,471,Spain,Female,62,7,113548.42,2,1,1,97723.15,0,0,0,1-12
11,816,Germany,Male,77,2,56279.29,3,0,0,12519.18,0,0,0,1-12
12,564,Spain,Female,45,1,246665.23,4,1,0,99323.63,0,0,0,1-12
13,680,Germany,Female,20,8,118798.32,3,1,0,186677.61,0,0,0,1-12
14,808,France,Male,68,0,133185.49,1,1,0,28213.66,0,0,0,0
15,437,France,Female,25,8,54639.82,2,0,1,52363.82,0,0,0,1-12
16,722,Germany,Female,87,6,128534.18,2,0,1,145956.26,0,0,0,1-12
17,449,Germany,Male,76,1,63837.39,3,0,1,65879.13,0,0,0,1-12
18,709,Spain,Male,78,4,50584.06,4,0,0,155395.77,0,0,0,1-12
19,501,France,Male,75,1,68930.56,2,0,0,89671.61,1,1,1,1-12
20,480,Spain,Male,87,4,689.91,4,0,0,161252.75,1,1,1,1-12
21,499,Germany,Male,29,6,142537.78,4,1,0,114791.26,1,1,1,1-12
22,658,Germany,Female,26,4,96870.0,1,1,0,25669.04,1,1,1,1-12
23,607,Spain,Female,66,1,224672.25,2,1,1,83365.89,0,0,0,1-12
24,693,Germany,Male,34,4,10176.79,3,0,0,73317.18,0,0,0,1-12
25,841,France,Female,71,9,10800.08,4,0,1,163915.43,1,1,1,1-12
26,763,Spain,Female,61,5,221468.38,2,0,0,128726.88,0,0,0,1-12
27,643,France,Male,49,4,31661.16,2,0,0,157706.15,1,1,1,1-12
28,735,France,Male,52,1,540.03,4,1,1,80708.45,1,1,1,1-12
29,541,France,Male,66,5,44728.47,3,1,1,141431.22,0,0,0,1-12
30,793,Spain,Female,71,5,205969.04,2,0,1,22394.53,0,0,0,1-12
31,626,Germany,Male,33,1,200678.52,2,0,1,16977.46,1,1,1,1-12
32,510,France,Female,29,3,85033.05,3,0,0,64618.9,0,0,0,1-12
33,809,France,Female,25,6,167007.73,4,1,0,157002.84,0,0,0,1-12
34,663,France,Female,38,0,126812.43,4,0,0,111476.62,1,1,1,0
35,371,Germany,Female,65,0,226183.75,4,1,0,87676.14,1,1,1,0
36,602,Germany,Male,25,5,14105.87,4,1,0,180360.58,0,0,0,1-12
37,585,Spain,Female,45,6,203294.78,3,0,0,104498.7,1,1,1,1-12
38,694,Germany,Male,27,4,42649.67,1,0,0,126543.94,0,0,0,1-12
39,398,Spain,Female,69,9,97905.22,3,0,1,197307.44,0,0,0,1-12
40,824,Spain,Male,32,7,47989.29,3,1,0,109254.47,0,0,0,1-12
41,408,Spain,Male,21,3,175653.6,4,1,1,158865.5,0,0,0,1-12
42,519,Spain,Male,79,2,169581.54,2,1,1,88626.86,0,0,0,1-12
43,825,Spain,Female,21,6,136974.4,3,1,1,16904.68,0,0,0,1-12
44,537,France,Female,58,3,174540.76,4,1,0,168549.69,1,1,1,1-12
45,813,Germany,Female,90,0,159891.2,2,1,1,189436.87,0,0,0,0
46,620,France,Male,72,7,194110.51,3,0,0,92532.58,0,0,0,1-12
47,539,Spain,Female,45,4,59851.66,1,0,1,105690.89,0,0,0,1-12
48,795,Germany,Female,64,7,107228.15,1,0,1,90586.2,1,1,1,1-12
49,524,France,Female,26,7,37906.63,4,1,1,199412.11,0,0,0,1-12
50,795,France,Male,19,4,107398.39,2,0,1,181638.6,0,0,0,1-12
51,400,Spain,Female,84,7,175422.94,2,0,0,17809.27,1,1,1,1-12
52,713,France,Female,65,6,172847.79,4,0,1,158013.55,0,0,0,1-12
53,404,France,Male,86,2,177356.73,4,1,0,124158.98,1,1,1,1-12
54,593,France,Male,91,3,77191.88,2,0,1,14776.92,0,0,0,1-12
55,669,France,Male,45,6,165553.49,1,0,1,94495.33,0,0,0,1-12
56,480,France,Male,31,3,91866.58,1,1,0,38445.2,0,0,0,1-12
57,834,Spain,Male,63,5,236123.01,3,0,1,175879.07,1,1,1,1-12
58,656,Spain,Male,30,1,85841.59,3,0,1,12412.76,0,0,0,1-12
59,484,France,Female,33,1,150754.56,2,1,1,175890.1,0,0,0,1-12
60,370,Spain,Female,57,2,187536.43,1,0,0,188759.44,0,0,0,1-12
61,678,Spain,Male,89,9,226601.86,3,1,0,23867.05,0,0,0,1-12
62,516,Germany,Female,47,6,109482.15,1,1,0,146769.13,0,0,0,1-12
63,623,France,Male,82,2,90121.28,1,0,1,114289.52,0,0,0,1-12
64,737,Spain,Female,75,2,107507.04,2,1,1,191312.58,1,1,1,1-12
65,438,Spain,Male,65,3,80924.09,1,0,0,161648.44,1,1,1,1-12
66,665,France,Male,66,9,163481.12,2,0,1,141938.67,0,0,0,1-12
67,363,Germany,Female,19,5,233179.19,3,0,0,185846.85,1,1,1,1-12
68,591,France,Female,31,0,31517.75,4,0,0,40466.45,1,1,1,0
69,614,Germany,Female,34,5,140230.52,1,0,1,81432.4,0,0,0,1-12
70,695,France,Female,48,7,224412.18,4,1,0,170158.95,0,0,0,1-12
71,402,France,Female,27,7,25028.64,4,1,1,29301.24,1,1,1,1-12
72,735,France,Female,87,5,123466.35,2,0,1,187735.0,0,0,0,1-12
73,689,France,Female,54,5,216307.4,1,1,0,151579.54,0,0,0,1-12
74,441,Germany,Female,81,2,225113.05,1,0,0,93473.26,1,1,1,1-12
75,716,Germany,Male,47,1,128588.04,3,0,0,74357.06,0,0,0,1-12
76,793,Spain,Female,51,6,6237.97,4,0,1,38045.22,0,0,0,1-12
77,804,France,Female,35,7,26409.79,4,0,0,27797.97,1,1,1,1-12
78,777,Germany,Male,80,9,146679.19,2,1,1,90482.97,0,0,0,1-12
79,613,Germany,Male,66,5,30964.65,1,0,0,170188.71,1,1,1,1-12
80,780,Germany,Male,73,4,37354.44,1,0,0,111051.6,0,0,0,1-12
81,384,France,Male,75,3,193029.27,4,0,0,95718.27,1,1,1,1-12
82,555,Spain,Female,44,0,187673.01,3,0,0,70618.08,0,0,0,0
83,430,Germany,Female,72,8,210693.19,4,1,1,39820.48,0,0,0,1-12
84,769,France,Male,36,9,26433.78,1,0,1,198118.87,0,0,0,1-12
85,399,Germany,Male,40,3,49536.22,2,1,0,14889.19,0,0,0,1-12
86,709,Germany,Female,64,1,208240.36,2,1,0,69245.02,0,0,0,1-12
87,737,Spain,Female,83,3,180271.9,2,1,0,156182.09,0,0,0,1-12
88,351,Germany,Female,68,4,201489.03,1,1,0,108906.05,0,0,0,1-12
89,739,Germany,Female,45,1,247436.42,1,0,0,69632.43,0,0,0,1-12
90,403,France,Male,74,6,216107.9,2,1,0,198620.47,0,0,0,1-12
91,455,France,Female,75,2,130115.81,1,1,0,127642.23,1,1,1,1-12
92,609,Spain,Male,32,7,77692.05,3,1,0,66079.6,0,0,0,1-12
93,659,France,Male,33,3,142419.15,2,1,0,171111.1,0,0,0,1-12
94,826,France,Male,64,4,159646.64,3,1,0,38531.19,1,1,1,1-12
95,540,Spain,Female,80,2,83828.04,3,0,1,98079.07,1,1,1,1-12
96,751,Germany,Male,29,4,192734.26,1,0,0,169521.87,0,0,0,1-12
97,567,Spain,Female,60,8,23188.45,1,1,0,196895.03,1,1,1,1-12
98,393,France,Male,46,1,194848.21,2,1,0,82780.94,1,1,1,1-12
99,511,Spain,Female,66,6,7999.63,1,0,0,36240.84,1,1,1,1-12
100,551,Germany,Male,20,9,124491.52,3,1,1,117716.61,0,0,0,1-12
101,795,Spain,Male,86,7,215359.12,1,0,1,189358.68,0,0,0,1-12
102,833,France,Female,77,2,21623.82,2,1,1,136466.23,0,0,0,1-12
103,619,France,Female,83,3,129434.73,4,1,1,124410.31,0,0,0,1-12
104,700,Spain,Male,43,9,39847.86,4,0,1,68765.48,0,0,0,1-12
105,653,Germany,Male,88,1,223703.94,1,1,1,125204.57,0,0,0,1-12
106,620,Spain,Female,91,9,208086.38,4,1,1,178088.82,0,0,0,1-12
107,805,Germany,Male,86,8,233479.31,3,0,0,81349.94,1,1,1,1-12
108,811,Germany,Female,64,2,218745.59,4,1,0,55990.19,0,0,0,1-12
109,564,Spain,Female,59,8,184138.33,4,0,1,101381.94,0,0,0,1-12
110,601,Germany,Male,48,6,46222.3,3,1,0,81475.68,0,0,0,1-12
111,539,France,Female,39,5,75625.65,2,0,0,99285.94,0,0,0,1-12
112,645,Spain,Male,34,2,124213.79,4,1,1,28188.63,0,0,0,1-12
113,562,Germany,Female,37,6,147224.2,4,0,1,73879.9,0,0,0,1-12
114,557,France,Female,25,2,195545.85,4,0,0,167044.08,0,0,0,1-12
115,586,Spain,Male,66,5,56739.91,2,0,1,86061.01,0,0,0,1-12
116,687,France,Female,55,7,32069.35,1,1,1,193900.07,1,1,1,1-12
117,716,France,Male,70,4,120652.54,1,1,0,144680.51,1,1,1,1-12
118,402,France,Female,45,2,39460.35,2,0,1,79546.95,1,1,1,1-12
119,629,Germany,Female,46,5,173434.2,3,1,1,57816.1,0,0,0,1-12
120,759,Spain,Female,89,7,143907.72,1,0,1,140219.92,0,0,0,1-12
121,566,Spain,Female,28,9,185276.95,2,1,0,67464.83,0,0,0,1-12
122,601,Germany,Male,64,2,15859.14,2,0,0,186109.64,0,0,0,1-12
123,537,Spain,Female,62,4,241174.39,3,1,1,32103.82,0,0,0,1-12
124,729,France,Female,35,8,1.38,2,1,1,15460.66,0,0,0,1-12
125,842,Spain,Female,67,9,81360.6,1,1,0,51995.09,1,1,1,1-12
126,390,Germany,Male,66,9,169908.7,1,1,1,125257.64,1,1,1,1-12
127,506,France,Male,39,2,11285.52,2,1,0,168642.78,0,0,0,1-12
128,364,Germany,Male,62,1,20837.4,2,1,0,42324.33,1,1,1,1-12
129,650,France,Male,78,7,19170.36,3,1,0,121097.34,1,1,1,1-12
130,414,France,Female,38,6,145377.43,3,1,0,37389.09,0,0,0,1-12
131,694,Spain,Female,88,8,223981.33,4,0,0,117003.94,0,0,0,1-12
132,676,France,Female,78,3,138859.24,2,0,0,13454.63,0,0,0,1-12
133,358,Germany,Male,53,2,150892.84,4,0,0,115983.35,1,1,1,1-12
134,693,Spain,Male,41,9,86500.41,4,1,0,109137.41,0,0,0,1-12
135,478,Germany,Female,49,4,4685.29,4,1,0,18141.11,1,1,1,1-12
136,841,France,Female,76,0,5403.68,4,0,1,140989.21,0,0,0,0
137,485,Germany,Female,22,4,222077.49,1,0,1,118728.36,0,0,0,1-12
138,821,Germany,Male,33,2,25643.11,3,0,0,128388.48,0,0,0,1-12
139,412,France,Female,28,0,249947.34,2,0,1,110657.05,0,0,0,0
140,488,Spain,Female,52,2,41105.65,3,0,1,147178.79,0,0,0,1-12
141,848,Germany,Male,59,4,168658.61,3,0,0,109750.73,1,1,1,1-12
142,430,France,Male,27,4,237238.87,3,0,0,185231.26,0,0,0,1-12
143,741,Spain,Female,25,9,90572.32,3,0,0,189266.77,0,0,0,1-12
144,512,Spain,Male,43,7,183608.3,3,0,1,148068.34,0,0,0,1-12
145,768,Spain,Female,20,0,87714.16,3,0,0,183234.78,0,0,0,0
146,638,Germany,Female,76,6,76235.26,1,1,0,185399.42,1,1,1,1-12
147,728,Germany,Female,20,4,50451.02,3,1,1,59779.71,0,0,0,1-12
148,610,Germany,Female,55,2,205233.73,2,1,1,198846.64,0,0,0,1-12
149,839,Spain,Male,19,3,64346.77,2,0,1,60813.0,0,0,0,1-12
150,580,Germany,Male,34,2,70789.54,4,0,0,13522.45,0,0,0,1-12
151,390,France,Male,90,7,249742.44,4,1,1,192822.74,1,1,1,1-12
152,377,Germany,Female,53,3,81827.61,3,1,0,52506.43,1,1,1,1-12
153,484,Germany,Female,90,2,105693.62,4,0,1,120982.96,1,1,1,1-12
154,550,Spain,Female,19,1,247513.86,4,1,1,194426.95,0,0,0,1-12
155,677,Germany,Male,51,2,92325.09,3,1,1,19395.58,0,0,0,1-12
156,617,France,Male,44,6,91538.0,4,1,1,61169.27,0,0,0,1-12
157,767,Spain,Female,54,5,206928.62,2,1,0,125676.55,1,1,1,1-12
158,382,France,Male,88,9,77982.59,3,1,1,154886.03,0,0,0,1-12
159,397,Spain,Male,39,4,58446.53,2,1,0,163399.62,0,0,0,1-12
160,756,Spain,Male,85,7,105802.56,2,1,0,177930.62,0,0,0,1-12
