feature,importance_mean,importance_std
IsActiveMember,0.03855,0.007599177587081391
Age,0.01999999999999999,0.006166441437328348
NumOfProducts,0.006299999999999989,0.004078602701906618
TenureGroup_0,0.0032499999999999808,0.0012599603168354252
HasCrCard,0.0029749999999999833,0.001042532973099659
Geography_France,0.002324999999999966,0.0028560243346302354
TenureGroup_1-12,0.002199999999999974,0.002045727254547878
Tenure,0.0017499999999999738,0.001418626095911119
CreditScore,0.001349999999999979,0.003585038354048678
Gender_Female,-5.00000000000278e-05,0.0024944939366532827
EstimatedSalary,-0.0002750000000000197,0.0018872930350107234
Geography_Germany,-0.0013500000000000068,0.002116010396949868
Gender_Male,-0.0014750000000000151,0.003269078616368807
Geography_Spain,-0.0022999999999999965,0.0026851443164195013
Balance,-0.002450000000000002,0.003069609095634151
